"filename", "language", "XML", "Python", "HTML", "comment", "blank", "total"
"/Users/st.g/Desktop/COMP10001/worksheet/5/2_canner_can_v2.py", "Python", 0, -5, 0, -2, 0, -7
"/Users/st.g/Desktop/COMP10001/worksheet/5/3_goldilock.py", "Python", 0, -6, 0, 0, 0, -6
"/Users/st.g/Desktop/COMP10001/worksheet/5/4_word_counter.py", "Python", 0, -3, 0, -2, 0, -5
"/Users/st.g/Desktop/COMP10001/worksheet/7/1_chess.py", "Python", 0, -4, 0, 0, -2, -6
"/Users/st.g/Desktop/COMP10001/worksheet/7/2_chess.py", "Python", 0, -5, 0, 0, -1, -6
"/Users/st.g/Desktop/COMP10001/worksheet/7/3_chess.py", "Python", 0, -7, 0, 0, -1, -8
"/Users/st.g/Desktop/COMP10001/worksheet/7/4_chess.py", "Python", 0, -10, 0, 0, -1, -11
"/Users/st.g/Desktop/COMP10001/worksheet/7/5_card.py", "Python", 0, -2, 0, 0, -1, -3
"/Users/st.g/Desktop/COMP10001/worksheet/8/1_while.py", "Python", 0, -10, 0, 0, -1, -11
"/Users/st.g/Desktop/COMP10001/worksheet/8/2_word_form.py", "Python", 0, -4, 0, 0, -1, -5
"/Users/st.g/Desktop/COMP10001/worksheet/8/3_gamertag.py", "Python", 0, -2, 0, 0, -1, -3
"/Users/st.g/Desktop/COMP10001/worksheet/8/4_for_a_while.py", "Python", 0, -2, 0, 0, -1, -3
"/Users/st.g/Desktop/COMP10001/worksheet/8/5_while_a_for.py", "Python", 0, -8, 0, 0, -2, -10
"/Users/st.g/Desktop/COMP10001/worksheet/8/6_left_aligned.py", "Python", 0, -9, 0, 0, -2, -11
"/Users/st.g/Desktop/COMP10001/worksheet/8/7_diamond.py", "Python", 0, -14, 0, 0, -4, -18
"/Users/st.g/Desktop/COMP10001/worksheet/8/8_credit_card.py", "Python", 0, -6, 0, 0, -1, -7
"/Users/st.g/Desktop/COMP10001/worksheet/9/1_cycle_list.py", "Python", 0, -5, 0, 0, -2, -7
"/Users/st.g/Desktop/COMP10001/worksheet/9/2_recycle_list.py", "Python", 0, -5, 0, 0, -2, -7
"/Users/st.g/Desktop/COMP10001/worksheet/9/3_forloop_append.py", "Python", 0, -2, 0, 0, -1, -3
"/Users/st.g/Desktop/COMP10001/worksheet/9/4_sorted_words.py", "Python", 0, -4, 0, 0, -2, -6
"/Users/st.g/Desktop/COMP10001/worksheet/9/5_precede_word_len.py", "Python", 0, -16, 0, 0, -1, -17
"/Users/st.g/Desktop/COMP10001/worksheet/9/6_find_middle_words.py", "Python", 0, -4, 0, 0, -1, -5
"/Users/st.g/Desktop/COMP10001/worksheet/9/7_longest_sentence.py", "Python", 0, -3, 0, 0, -2, -5
"/Users/st.g/Desktop/COMP10001/worksheet/9/8_longer_higher_string.py", "Python", 0, -2, 0, 0, -1, -3
"Total", "-", -36, -689, -15, -190, -237, -1167
